observation_date,NCPHIRSAXDCKRQ,NGDPRSAXDCKRQ,NFIRNSAXDCKRQ
1960-01-01,,7530100,381600
1960-04-01,,7878400,619100
1960-07-01,,7788800,407000
1960-10-01,,7834300,394500
1961-01-01,,8081800,378600
1961-04-01,,8431400,590700
1961-07-01,,8279500,451100
1961-10-01,,8386200,502900
1962-01-01,,8551100,430300
1962-04-01,,8387500,673500
1962-07-01,,8640800,670400
1962-10-01,,8900800,717700
1963-01-01,,9407900,650300
1963-04-01,,9176400,917800
1963-07-01,,9492500,790200
1963-10-01,,9509900,767200
1964-01-01,,10057100,612500
1964-04-01,,9762300,899100
1964-07-01,,10436900,717400
1964-10-01,,10873600,702500
1965-01-01,,10988000,666400
1965-04-01,,11002300,1075100
1965-07-01,,10936000,1009400
1965-10-01,,11211800,1026600
1966-01-01,,11868100,915200
1966-04-01,,12604900,1836600
1966-07-01,,12400500,1537800
1966-10-01,,12564700,1666700
1967-01-01,,12971700,1244300
1967-04-01,,13256500,2071800
1967-07-01,,13823000,1964800
1967-10-01,,13911300,2235100
1968-01-01,,14750800,1534300
1968-04-01,,15011800,3052600
1968-07-01,,15831900,2786800
1968-10-01,,15503500,3150600
1969-01-01,,16266500,1887400
1969-04-01,,16883400,3847700
1969-07-01,,18296300,3879900
1969-10-01,,18566200,3623100
1970-01-01,14966900,18254500,2349000
1970-04-01,15504100,19063700,4081100
1970-07-01,15993500,19213800,3901600
1970-10-01,15825200,20598700,4051000
1971-01-01,16439400,20739900,2620100
1971-04-01,16960100,21485500,4576300
1971-07-01,17280800,21525400,4534700
1971-10-01,17347700,21595400,3561000
1972-01-01,17651100,22003900,2494100
1972-04-01,17873200,22679300,3738600
1972-07-01,18051000,23012100,4240600
1972-10-01,18483900,23912600,5223200
1973-01-01,19083400,24863100,2947000
1973-04-01,19462400,25899400,5225800
1973-07-01,19933400,27124300,5917600
1973-10-01,20162000,27439200,5715800
1974-01-01,20779800,28845800,3520300
1974-04-01,21220300,28663400,5827600
1974-07-01,21412600,29042400,6397500
1974-10-01,21181700,28937100,6928300
1975-01-01,21952100,29533300,4874000
1975-04-01,22340800,30780000,6926200
1975-07-01,22640800,31660500,5629100
1975-10-01,22472600,32674900,7600400
1976-01-01,23872500,33709800,5010400
1976-04-01,24005700,35174800,8585600
1976-07-01,24404800,35942900,8735800
1976-10-01,24654200,36353600,9644500
1977-01-01,24614200,36753800,6215600
1977-04-01,24844000,38566500,11218500
1977-07-01,25579800,40925700,10899900
1977-10-01,27222700,42409500,14105200
1978-01-01,26281000,42149400,9220300
1978-04-01,27367800,43433800,14835200
1978-07-01,27691400,44285500,15549800
1978-10-01,29651100,46349200,17879700
1979-01-01,29589500,48541200,11534600
1979-04-01,29679700,48849100,17996400
1979-07-01,30174900,47467000,16419200
1979-10-01,31257700,46756500,17107200
1980-01-01,29855600,47272000,11535500
1980-04-01,29972900,46962700,14944900
1980-07-01,30369700,47827000,14402200
1980-10-01,30434800,46631400,15151500
1981-01-01,30879200,48571000,10978100
1981-04-01,31600500,49711800,14499200
1981-07-01,31824600,51715600,13561400
1981-10-01,32748300,52665200,15842600
1982-01-01,33076200,53051200,11386400
1982-04-01,33926500,54194600,15735300
1982-07-01,34643300,55298900,16263300
1982-10-01,35006100,57281000,17917900
1983-01-01,36076200,59706700,12858700
1983-04-01,36975400,61414500,19057800
1983-07-01,37752900,63773500,18808000
1983-10-01,38448200,64534400,20474900
1984-01-01,39060300,67142496,14764600
1984-04-01,39808500,68657000,21976100
1984-07-01,40795900,69809800,20907600
1984-10-01,40966100,70350704,21926600
1985-01-01,41625900,72078896,16586700
1985-04-01,42573900,73807696,21375300
1985-07-01,43661800,74802200,22417600
1985-10-01,44349700,77179104,24295200
1986-01-01,45330400,78418896,18700800
1986-04-01,46454800,81654704,25584800
1986-07-01,47776500,85381504,25515900
1986-10-01,48817100,86676496,27274300
1987-01-01,49348800,89176800,21664500
1987-04-01,50761000,93998400,29359800
1987-07-01,51534400,95056000,30646800
1987-10-01,52919000,96719504,33489400
1988-01-01,53751800,104030400,25829000
1988-04-01,55146100,102150400,32852500
1988-07-01,56660000,105616600,35127200
1988-10-01,58029600,108646800,37692300
1989-01-01,59704500,108617400,28751700
1989-04-01,61152500,110439296,37845800
1989-07-01,62712400,113588096,40881600
1989-10-01,64353200,117924200,45415900
1990-01-01,66035400,119159600,36778400
1990-04-01,67506000,121845800,48092600
1990-07-01,68933600,126163696,50772100
1990-10-01,70495200,128569200,54869700
1991-01-01,71644600,133273104,43365300
1991-04-01,73408800,135544496,56814200
1991-07-01,75655400,138631008,55540500
1991-10-01,77049800,142200992,62356900
1992-01-01,77850700,144661600,48973700
1992-04-01,79110600,145750704,58748600
1992-07-01,79911900,145926096,55263500
