observation_date,IRSTCB01JPQ156N
1960-01-01,7.30
1960-04-01,7.30
1960-07-01,6.94
1960-10-01,6.94
1961-01-01,6.57
1961-04-01,6.57
1961-07-01,7.30
1961-10-01,7.30
1962-01-01,7.30
1962-04-01,7.30
1962-07-01,7.30
1962-10-01,6.57
1963-01-01,6.21
1963-04-01,5.84
1963-07-01,5.84
1963-10-01,5.84
1964-01-01,6.57
1964-04-01,6.57
1964-07-01,6.57
1964-10-01,6.57
1965-01-01,6.21
1965-04-01,5.48
1965-07-01,5.48
1965-10-01,5.48
1966-01-01,5.48
1966-04-01,5.48
1966-07-01,5.48
1966-10-01,5.48
1967-01-01,5.48
1967-04-01,5.48
1967-07-01,5.84
1967-10-01,5.84
1968-01-01,6.21
1968-04-01,6.21
1968-07-01,5.84
1968-10-01,5.84
1969-01-01,5.84
1969-04-01,5.84
1969-07-01,6.25
1969-10-01,6.25
1970-01-01,6.25
1970-04-01,6.25
1970-07-01,6.25
1970-10-01,6.00
1971-01-01,5.75
1971-04-01,5.50
1971-07-01,5.25
1971-10-01,4.75
1972-01-01,4.75
1972-04-01,4.25
1972-07-01,4.25
1972-10-01,4.25
1973-01-01,4.25
1973-04-01,5.50
1973-07-01,7.00
1973-10-01,9.00
1974-01-01,9.00
1974-04-01,9.00
1974-07-01,9.00
1974-10-01,9.00
1975-01-01,9.00
1975-04-01,8.00
1975-07-01,7.50
1975-10-01,6.50
1976-01-01,6.50
1976-04-01,6.50
1976-07-01,6.50
1976-10-01,6.50
1977-01-01,6.00
1977-04-01,5.00
1977-07-01,4.25
1977-10-01,4.25
1978-01-01,3.50
1978-04-01,3.50
1978-07-01,3.50
1978-10-01,3.50
1979-01-01,3.50
1979-04-01,4.25
1979-07-01,5.25
1979-10-01,6.25
1980-01-01,9.00
1980-04-01,9.00
1980-07-01,8.25
1980-10-01,7.25
1981-01-01,6.25
1981-04-01,6.25
1981-07-01,6.25
1981-10-01,5.50
1982-01-01,5.50
1982-04-01,5.50
1982-07-01,5.50
1982-10-01,5.50
1983-01-01,5.50
1983-04-01,5.50
1983-07-01,5.50
1983-10-01,5.00
1984-01-01,5.00
1984-04-01,5.00
1984-07-01,5.00
1984-10-01,5.00
1985-01-01,5.00
1985-04-01,5.00
1985-07-01,5.00
1985-10-01,5.00
1986-01-01,4.00
1986-04-01,3.50
1986-07-01,3.50
1986-10-01,3.00
1987-01-01,2.50
1987-04-01,2.50
1987-07-01,2.50
1987-10-01,2.50
1988-01-01,2.50
1988-04-01,2.50
1988-07-01,2.50
1988-10-01,2.50
1989-01-01,2.50
1989-04-01,3.25
1989-07-01,3.25
1989-10-01,4.25
1990-01-01,5.25
1990-04-01,5.25
1990-07-01,6.00
1990-10-01,6.00
1991-01-01,6.00
1991-04-01,6.00
1991-07-01,5.50
1991-10-01,4.50
1992-01-01,4.50
1992-04-01,3.75
1992-07-01,3.25
1992-10-01,3.25
1993-01-01,2.50
1993-04-01,2.50
1993-07-01,1.75
1993-10-01,1.75
1994-01-01,1.75
1994-04-01,1.75
1994-07-01,1.75
1994-10-01,1.75
1995-01-01,1.75
1995-04-01,1.00
1995-07-01,0.50
1995-10-01,0.50
1996-01-01,0.50
1996-04-01,0.50
1996-07-01,0.50
1996-10-01,0.50
1997-01-01,0.50
1997-04-01,0.50
1997-07-01,0.50
1997-10-01,0.50
1998-01-01,0.50
1998-04-01,0.50
1998-07-01,0.50
1998-10-01,0.50
1999-01-01,0.50
1999-04-01,0.50
1999-07-01,0.50
1999-10-01,0.50
2000-01-01,0.50
2000-04-01,0.50
2000-07-01,0.50
2000-10-01,0.50
2001-01-01,0.25
2001-04-01,0.25
2001-07-01,0.10
2001-10-01,0.10
2002-01-01,0.10
2002-04-01,0.10
2002-07-01,0.10
2002-10-01,0.10
2003-01-01,0.10
2003-04-01,0.10
2003-07-01,0.10
2003-10-01,0.10
2004-01-01,0.10
2004-04-01,0.10
2004-07-01,0.10
2004-10-01,0.10
2005-01-01,0.10
2005-04-01,0.10
2005-07-01,0.10
2005-10-01,0.10
2006-01-01,0.10
2006-04-01,0.10
2006-07-01,0.40
2006-10-01,0.40
2007-01-01,0.75
2007-04-01,0.75
2007-07-01,0.75
2007-10-01,0.75
2008-01-01,0.75
2008-04-01,0.75
2008-07-01,0.75
2008-10-01,0.30
2009-01-01,0.30
2009-04-01,0.30
2009-07-01,0.30
2009-10-01,0.30
2010-01-01,0.30
2010-04-01,0.30
2010-07-01,0.30
2010-10-01,0.30
2011-01-01,0.30
2011-04-01,0.30
2011-07-01,0.30
2011-10-01,0.30
2012-01-01,0.30
2012-04-01,0.30
2012-07-01,0.30
2012-10-01,0.30
2013-01-01,0.30
2013-04-01,0.30
2013-07-01,0.30
2013-10-01,0.30
2014-01-01,0.30
2014-04-01,0.30
2014-07-01,0.30
2014-10-01,0.30
2015-01-01,0.30
2015-04-01,0.30
2015-07-01,0.30
2015-10-01,0.30
2016-01-01,0.30
2016-04-01,0.30
2016-07-01,0.30
2016-10-01,0.30
2017-01-01,0.30
2017-04-01,0.30
2017-07-01,0.30
2017-10-01,0.30
2018-01-01,0.30
2018-04-01,0.30
2018-07-01,0.30
2018-10-01,0.30
2019-01-01,0.30
2019-04-01,0.30
2019-07-01,0.30
2019-10-01,0.30
2020-01-01,0.30
2020-04-01,0.30
2020-07-01,0.30
2020-10-01,0.30
2021-01-01,0.30
2021-04-01,0.30
2021-07-01,0.30
2021-10-01,0.30
2022-01-01,0.30
2022-04-01,0.30
2022-07-01,0.30
2022-10-01,0.30
2023-01-01,0.30
2023-04-01,0.30
2023-07-01,0.30
2023-10-01,0.30
