observation_date,NGDPRSAXDCJPQ
1994-01-01,111554552
1994-04-01,110960304
1994-07-01,112231528
1994-10-01,111785176
1995-01-01,113007952
1995-04-01,114093176
1995-07-01,115424152
1995-10-01,115704672
1996-01-01,116670224
1996-04-01,118144624
1996-07-01,118287048
1996-10-01,119607448
1997-01-01,119898552
1997-04-01,119025752
1997-07-01,119250000
1997-10-01,119294176
1998-01-01,117827872
1998-04-01,117331976
1998-07-01,117534848
1998-10-01,118480000
1999-01-01,116836552
1999-04-01,117298552
1999-07-01,117918704
1999-10-01,117961152
2000-01-01,119993024
2000-04-01,120532704
2000-07-01,120562176
2000-10-01,121736200
2001-01-01,122629248
2001-04-01,121716552
2001-07-01,120394952
2001-10-01,119979904
2002-01-01,120177472
2002-04-01,121149728
2002-07-01,121541448
2002-10-01,121877728
2003-01-01,121947248
2003-04-01,122778872
2003-07-01,123154576
2003-10-01,124498048
2004-01-01,125443504
2004-04-01,125412824
2004-07-01,126195752
2004-10-01,125960400
2005-01-01,126596800
2005-04-01,127572672
2005-07-01,128878672
2005-10-01,129113328
2006-01-01,129299128
2006-04-01,129499248
2006-07-01,129251072
2006-10-01,131001448
2007-01-01,131847624
2007-04-01,131906448
2007-07-01,131193904
2007-10-01,131769024
2008-01-01,132261776
2008-04-01,131467072
2008-07-01,129827552
2008-10-01,126626952
2009-01-01,120521200
2009-04-01,122899872
2009-07-01,122837576
2009-10-01,124368496
2010-01-01,125655624
2010-04-01,127184600
2010-07-01,129477696
2010-10-01,128437400
2011-01-01,127052152
2011-04-01,125977072
2011-07-01,129035072
2011-10-01,128871848
2012-01-01,130656352
2012-04-01,129450648
2012-07-01,128966448
2012-10-01,128894648
2013-01-01,130618976
2013-04-01,131824976
2013-07-01,133103176
2013-10-01,132966272
2014-01-01,133973024
2014-04-01,131588896
2014-07-01,131723272
2014-10-01,132353048
2015-01-01,134334448
2015-04-01,134550976
2015-07-01,134713472
2015-10-01,134483280
2016-01-01,135471520
2016-04-01,135259728
2016-07-01,135548176
2016-10-01,135731872
2017-01-01,136768944
2017-04-01,137349456
2017-07-01,138494656
2017-10-01,138602128
2018-01-01,138679552
2018-04-01,139295472
2018-07-01,138499424
2018-10-01,138216928
2019-01-01,138522368
2019-04-01,139220848
2019-07-01,139356352
2019-10-01,135381680
2020-01-01,136116048
2020-04-01,125786328
2020-07-01,132510952
2020-10-01,134826272
2021-01-01,135254624
2021-04-01,136105952
2021-07-01,135470544
2021-10-01,137089504
2022-01-01,136266528
2022-04-01,137776032
2022-07-01,137196768
2022-10-01,137701248
2023-01-01,139387808
2023-04-01,140102272
2023-07-01,138651248
2023-10-01,138880848
2024-01-01,138108144
2024-04-01,138852656
2024-07-01,139280944
