observation_date,NFIRSAXDCJPQ
1994-01-01,34942376
1994-04-01,35374952
1994-07-01,35520800
1994-10-01,35334700
1995-01-01,35106976
1995-04-01,36005352
1995-07-01,36983300
1995-10-01,37501024
1996-01-01,38297248
1996-04-01,39138152
1996-07-01,39186048
1996-10-01,39065976
1997-01-01,38857824
1997-04-01,38205224
1997-07-01,38009376
1997-10-01,37684424
1998-01-01,36607076
1998-04-01,36205552
1998-07-01,36362524
1998-10-01,36705648
1999-01-01,36124076
1999-04-01,36467848
1999-07-01,36081724
1999-10-01,35993824
2000-01-01,36229048
2000-04-01,36023500
2000-07-01,36417352
2000-10-01,36869952
2001-01-01,37437648
2001-04-01,35938500
2001-07-01,35522300
2001-10-01,34520700
2002-01-01,34409300
2002-04-01,33905676
2002-07-01,34176024
2002-10-01,33985448
2003-01-01,33745552
2003-04-01,34111276
2003-07-01,33678600
2003-10-01,34203276
2004-01-01,33865500
2004-04-01,33866400
2004-07-01,33991976
2004-10-01,34356824
2005-01-01,34621700
2005-04-01,34842876
2005-07-01,35560676
2005-10-01,35121476
2006-01-01,35151000
2006-04-01,35219248
2006-07-01,34897648
2006-10-01,35396000
2007-01-01,35330300
2007-04-01,34819952
2007-07-01,33968376
2007-10-01,33487850
2008-01-01,33643076
2008-04-01,33268176
2008-07-01,33026924
2008-10-01,32271624
2009-01-01,30734900
2009-04-01,30140276
2009-07-01,29206076
2009-10-01,29004876
2010-01-01,29363950
2010-04-01,29247576
2010-07-01,29444650
2010-10-01,29426150
2011-01-01,29900124
2011-04-01,29642350
2011-07-01,30081450
2011-10-01,30545324
2012-01-01,30845176
2012-04-01,31017850
2012-07-01,30824000
2012-10-01,30767450
2013-01-01,30898824
2013-04-01,31851724
2013-07-01,32693350
2013-10-01,33145150
2014-01-01,33593276
2014-04-01,32462776
2014-07-01,32516924
2014-10-01,32725324
2015-01-01,33575600
2015-04-01,33318324
2015-07-01,33639324
2015-10-01,33765624
2016-01-01,33827200
2016-04-01,33814152
2016-07-01,34006848
2016-10-01,34209500
2017-01-01,34299076
2017-04-01,34607100
2017-07-01,34609248
2017-10-01,34611552
2018-01-01,34775552
2018-04-01,35036876
2018-07-01,34332476
2018-10-01,34788048
2019-01-01,35091024
2019-04-01,35139800
2019-07-01,35606376
2019-10-01,33818152
2020-01-01,34505200
2020-04-01,33422676
2020-07-01,33042700
2020-10-01,33466376
2021-01-01,33820876
2021-04-01,34166176
2021-07-01,33656624
2021-10-01,33599676
2022-01-01,33342124
2022-04-01,33427176
2022-07-01,33958900
2022-10-01,33774000
2023-01-01,34420952
2023-04-01,34076676
2023-07-01,33818400
2023-10-01,34100876
2024-01-01,33736800
2024-04-01,34383248
2024-07-01,34298724
