observation_date,NCPHIRSAXDCJPQ
1994-01-01,60904850
1994-04-01,61227450
1994-07-01,61661250
1994-10-01,61682650
1995-01-01,62209275
1995-04-01,62703425
1995-07-01,63030475
1995-10-01,63462075
1996-01-01,63279375
1996-04-01,64075650
1996-07-01,64124450
1996-10-01,64760925
1997-01-01,65742675
1997-04-01,64027400
1997-07-01,64124325
1997-10-01,63961925
1998-01-01,63823200
1998-04-01,63692400
1998-07-01,64101275
1998-10-01,63961200
1999-01-01,64200300
1999-04-01,64226225
1999-07-01,64635300
1999-10-01,64822750
2000-01-01,65261725
2000-04-01,65246775
2000-07-01,65428575
2000-10-01,66261525
2001-01-01,66619550
2001-04-01,67121375
2001-07-01,67047625
2001-10-01,66932925
2002-01-01,67352075
2002-04-01,67954275
2002-07-01,68032475
2002-10-01,67863900
2003-01-01,68113425
2003-04-01,67938600
2003-07-01,67870025
2003-10-01,68805100
2004-01-01,68780325
2004-04-01,68897575
2004-07-01,69422325
2004-10-01,69051300
2005-01-01,69457625
2005-04-01,69895325
2005-07-01,70548675
2005-10-01,70568050
2006-01-01,70813925
2006-04-01,70722600
2006-07-01,70151250
2006-10-01,71247075
2007-01-01,71306975
2007-04-01,71722950
2007-07-01,71012450
2007-10-01,71142900
2008-01-01,71460300
2008-04-01,70646700
2008-07-01,70439100
2008-10-01,69323550
2009-01-01,68961675
2009-04-01,69563750
2009-07-01,70067775
2009-10-01,70508200
2010-01-01,70760550
2010-04-01,71286900
2010-07-01,72369900
2010-10-01,71104950
2011-01-01,69869425
2011-04-01,70339125
2011-07-01,71420275
2011-10-01,71810000
2012-01-01,72090750
2012-04-01,72195700
2012-07-01,72129525
2012-10-01,72435575
2013-01-01,73546525
2013-04-01,74106825
2013-07-01,74498875
2013-10-01,74382925
2014-01-01,75934800
2014-04-01,72215500
2014-07-01,72932250
2014-10-01,73056675
2015-01-01,73358475
2015-04-01,73371050
2015-07-01,73539375
2015-10-01,72995400
2016-01-01,73015625
2016-04-01,72552675
2016-07-01,72812800
2016-10-01,72962575
2017-01-01,73382300
2017-04-01,73793325
2017-07-01,73515925
2017-10-01,73756200
2018-01-01,73736700
2018-04-01,73981150
2018-07-01,74067425
2018-10-01,73933200
2019-01-01,73678825
2019-04-01,73796525
2019-07-01,74418150
2019-10-01,71727500
2020-01-01,72278700
2020-04-01,66136625
2020-07-01,69646675
2020-10-01,70884950
2021-01-01,70017050
2021-04-01,70352550
2021-07-01,69566925
2021-10-01,71664850
2022-01-01,70886750
2022-04-01,72359525
2022-07-01,72470650
2022-10-01,72461275
2023-01-01,73112900
2023-04-01,72646275
2023-07-01,72538450
